58289,-23.485799,-46.725785,1,6.1911602
58289,-23.485757,-46.725745,2,6.1911602
58289,-23.485733,-46.725721,3,9.8071995
58289,-23.485833,-46.725577,4,28.220282
58289,-23.485853,-46.725595,5,31.099775
58289,-23.485894,-46.725634,6,37.140762
58289,-23.48599,-46.725728,7,51.467186
58289,-23.486038,-46.725773,8,58.495296
58289,-23.486122,-46.725852,9,70.810684
58289,-23.486179,-46.725905,10,79.127228
58289,-23.486265,-46.725985,11,91.677071
58289,-23.486315,-46.726032,12,99.006226
58289,-23.486418,-46.726132,13,114.31895
58289,-23.486458,-46.72617,14,120.20898
58289,-23.486576,-46.726281,15,137.51096
58289,-23.486609,-46.726312,16,142.34653
58289,-23.486715,-46.72641,17,157.77478
58289,-23.486749,-46.726442,18,162.76161
58289,-23.486854,-46.726542,19,178.24002
58289,-23.486903,-46.726587,20,185.35197
58289,-23.487298,-46.726949,21,242.63362
58289,-23.487187,-46.727133,22,265.09265
58289,-23.48709,-46.727257,23,281.70145
58289,-23.486868,-46.727306,24,312.28076
58289,-23.486819,-46.727314,25,316.58804
58289,-23.486781,-46.727305,26,322.18039
58289,-23.486733,-46.727288,27,328.70386
58289,-23.486681,-46.727258,28,349.64655
58289,-23.486542,-46.727119,29,349.64655
58289,-23.486315,-46.726887,30,384.19641
58289,-23.485687,-46.726221,31,481.48935
58289,-23.485488,-46.725963,32,515.84534
58289,-23.485457,-46.725829,33,529.95782
58289,-23.485427,-46.725718,34,541.77362
58289,-23.485424,-46.725623,35,551.48364
58289,-23.485451,-46.72554,36,560.47418
58289,-23.485493,-46.725461,37,569.78894
58289,-23.485611,-46.725353,38,586.89166
58289,-23.485634,-46.725327,39,590.57129
58289,-23.485654,-46.725309,40,593.45081
58289,-23.48568,-46.725288,41,597.04205
58289,-23.485711,-46.725266,42,601.14496
58289,-23.485742,-46.725254,43,604.79089
58289,-23.485778,-46.725245,44,608.88214
58289,-23.485815,-46.725237,45,613.06018
58289,-23.485856,-46.725233,46,617.61926
58289,-23.485905,-46.725235,47,623.04956
